band,location,bandcamp_url,genre,tags
NYX DIVISION,"Portland, Oregon",https://nyxdivision.bandcamp.com,Rock,"post-punk, Rock, glam rock, rocknroll, Punk, goth"
NO KNOCK,"New York, New York",https://noknock.bandcamp.com,Punk,"punk rock, Punk, NYC"
SYMPATHY FLOWERS,"Oakland, California",https://sympathyflowersoakland.bandcamp.com,Punk,"Dark punk, Anarcho, post-punk, Punk"
Michael Cera Palin,"Atlanta, Georgia",https://michaelcerapalin.bandcamp.com,Punk,"indie, emo, Punk"
Aren't We Amphibians,"San Diego, California",https://arentweamphibians.bandcamp.com,Rock,"emo, math rock, midwest emo, Rock"
Losing Streak,New Jersey,https://losingstreakmusic.bandcamp.com,Punk,"Pop Punk, Alternative, Punk, Punk Rock, Rock"
ELLA PENNEWELL,,,,
PERENNIAL,,https://perennialtheband.bandcamp.com,Experimental,"post-hardcore, Experimental, art-punk, mod"
CURLING,"Berkeley, California",https://curling.bandcamp.com,Rock,"experimental, powerpop, janglepop, indie rock, Rock, shoegaze"
FOGLAMP,"Oakland, California",https://foglamp.bandcamp.com,Punk,"dark-wave, synth-punk, post-punk, punk, Punk, oakland"
Underdog,"Paris, France",https://underdogrecords.bandcamp.com,,
Stäläg 13,"Oxnard, California",https://stalag13.bandcamp.com,Punk,"80's hardcorepunk, hardcore, Punk, nardcore, hardcore punk"
Stand Tall,California,https://standtallsxe.bandcamp.com,Punk,"hardcore, youth crew, Punk, Straight Edge Hardcore, straight edge"
Discourage,"Oakland, California",https://discourage413.bandcamp.com,Metal,"hardcore, Metal, california hardcore"
DROUTH AT ELI'S MILE HIGH CLUB,,,,
MOLTEN,"San Francisco, California",https://molten666.bandcamp.com,Metal,"Black Metal, Metal, Heavy Metal, Doom Metal, Thrash Metal, Death Metal"
SAINTBREAKER,"Mesa, Arizona",https://saintbreaker.bandcamp.com,Metal,"hardcore, Metal, death metal, Thrash Metal, Crossover, Grind Core"
SODOMY,,,,
ALDWIN LONDON BAND,,,,
"ELI'S MILE HIGH BENEFIT SHOW - NECROT, FUNERAL CHANT, ANCIENT RAGE",,,,
"Planning For Burial, Mamaleek, Kathryn Mohr",,,,
